AzureName,ShortName
uksouth,UKS
ukwest,UKW
northeurope,NEU
westeurope,WEU
francecentral,FRC
francesouth,FRS
switzerlandnorth,SLN
switzerlandwest,SLW
germanynorth,GNO
germanywestcentral,GWC
norwaywest,NOW
norwayeast,NOE
swedencentral,SWC
centralus,CUS
eastus,EUS
eastus2,EU2
westus,WUS
westus2,WU2
westus3,WU3
northcentralus,NCU
southcentralus,SCU
westcentralus,WCU
canadacentral,CAC
canadaeast,CAE
brazilsouth,BRS
brazilsoutheast,BSE
australiaeast,AEA
australiasoutheast,ASE
australiacentral,ACE
australiacentral2,AC2
southindia,SIN
centralindia,CIN
westindia,WIN
eastasia,EAS
southeastasia,SAS
japanwest,JAW
japaneast,JAE
koreacentral,KOC
koreasouth,KOS
uaecentral,UAC
uaenorth,UAN
southafricanorth,SAN
southafricawest,SAW
